SEESION 1,,Period,Group,Subject ID,Alternative Chosen,Role Played,Payoff,,,SESSION 2,,Period,Group,Subject ID,Alternative Chosen,Role Played,Payoff
,,3,1,29,2,3,80,,,,,4,2,7,1,2,110
,,3,1,12,2,2,95,,,,,4,2,9,1,2,180
,,3,1,21,2,3,80,,,,,4,2,10,2,2,180
,,3,2,0,2,2,95,,,,,4,2,16,1,3,80
,,3,2,30,2,1,21,,,,,4,2,17,2,2,180
,,3,2,8,1,1,6,,,,,4,2,19,2,3,80
,,3,2,27,1,2,130,,,,,4,2,23,1,3,80
,,3,2,4,1,2,130,,,,,4,3,1,2,2,180
,,3,2,33,2,1,6,,,,,4,3,2,2,1,92
,,3,2,9,1,1,6,,,,,4,3,4,1,1,92
,,3,2,25,2,2,130,,,,,4,3,8,2,3,80
,,3,2,34,1,3,80,,,,,4,3,11,2,3,80
,,3,2,1,2,3,80,,,,,4,3,14,2,2,180
,,3,2,7,1,2,95,,,,,4,3,18,2,3,80
,,3,2,35,2,2,95,,,,,4,3,22,2,1,122
,,3,3,32,1,3,80,,,,,5,1,3,1,2,40
,,3,3,6,2,2,95,,,,,5,1,5,1,2,95
,,3,3,14,2,2,130,,,,,5,1,6,2,3,80
,,3,3,23,2,1,6,,,,,5,1,12,2,1,130
,,3,3,15,1,1,6,,,,,5,1,13,2,3,80
,,3,3,16,2,3,80,,,,,5,1,15,2,2,40
,,3,3,18,1,2,95,,,,,5,1,20,2,1,130
,,3,3,2,2,2,95,,,,,5,1,21,2,1,130
,,3,3,28,2,2,130,,,,,5,2,0,1,2,95
,,3,3,20,1,1,21,,,,,5,2,7,1,3,80
,,3,3,5,1,1,6,,,,,5,2,9,2,2,95
,,3,3,3,2,2,130,,,,,5,2,10,1,1,0
,,4,1,31,1,2,85,,,,,5,2,16,1,1,130
,,4,1,19,2,2,85,,,,,5,2,17,2,2,95
,,4,1,17,1,3,80,,,,,5,2,19,2,1,53
,,4,1,10,2,2,85,,,,,5,2,23,1,2,40
,,4,1,11,1,1,52,,,,,5,3,1,1,1,130
,,4,1,24,2,1,125,,,,,5,3,2,2,2,40
,,4,1,13,1,3,80,,,,,5,3,4,2,2,40
,,4,1,26,1,1,52,,,,,5,3,8,2,3,80
,,4,1,22,1,2,124,,,,,5,3,11,1,3,80
,,4,1,29,1,3,80,,,,,5,3,14,2,3,80
,,4,1,12,2,3,80,,,,,5,3,18,2,2,40
,,4,1,21,1,1,52,,,,,5,3,22,2,3,80
,,4,2,0,2,1,125,,,,,6,1,3,2,3,80
,,4,2,30,1,2,85,,,,,6,1,5,1,3,80
,,4,2,8,1,3,80,,,,,6,1,6,1,3,80
,,4,2,27,1,3,80,,,,,6,1,12,2,2,74
,,4,2,4,1,3,80,,,,,6,1,13,1,3,80
,,4,2,33,1,2,85,,,,,6,1,15,1,1,40
,,4,2,9,2,2,85,,,,,6,1,20,1,2,74
,,4,2,25,2,1,52,,,,,6,1,21,1,3,80
,,4,2,34,1,1,52,,,,,6,2,0,1,3,80
,,4,2,1,1,3,80,,,,,6,2,7,1,1,53
,,4,2,7,1,2,85,,,,,6,2,9,1,2,78
,,4,2,35,1,2,85,,,,,6,2,10,2,3,80
,,4,3,32,1,3,80,,,,,6,2,16,2,2,78
,,4,3,6,1,2,85,,,,,6,2,17,1,3,80
,,4,3,14,1,1,125,,,,,6,2,19,1,2,74
,,4,3,23,1,1,125,,,,,6,2,23,2,3,80
,,4,3,15,1,2,85,,,,,6,3,1,1,3,80
,,4,3,16,1,1,125,,,,,6,3,2,1,2,78
,,4,3,18,1,2,85,,,,,6,3,4,1,1,53
,,4,3,2,2,2,85,,,,,6,3,8,1,3,80
,,4,3,28,1,3,80,,,,,6,3,11,1,2,74
,,4,3,20,2,1,125,,,,,6,3,14,1,1,53
,,4,3,5,1,2,85,,,,,6,3,18,2,2,74
,,4,3,3,1,1,52,,,,,6,3,22,1,3,80
,,5,1,31,1,1,61,,,,,7,1,3,2,3,105
,,5,1,19,1,3,80,,,,,7,1,5,1,3,105
,,5,1,17,1,2,90,,,,,7,1,6,1,3,105
,,5,1,10,1,1,46,,,,,7,1,12,1,2,105
,,5,1,11,2,3,80,,,,,7,1,13,2,1,30
,,5,1,24,1,2,55,,,,,7,1,15,1,2,0
,,5,1,13,1,1,61,,,,,7,1,20,2,2,210
,,5,1,26,2,3,80,,,,,7,1,21,2,3,105
,,5,1,22,2,3,80,,,,,7,2,0,1,3,0
,,5,1,29,2,2,55,,,,,7,2,7,2,1,30
,,5,1,12,1,2,55,,,,,7,2,9,2,3,105
,,5,1,21,2,3,80,,,,,7,2,10,1,3,105
,,5,2,0,2,3,80,,,,,7,2,16,2,2,105
,,5,2,30,2,2,90,,,,,7,2,17,1,3,105
,,5,2,8,2,3,80,,,,,7,2,19,1,3,105
,,5,2,27,1,3,80,,,,,7,2,23,1,1,105
,,5,2,4,1,1,61,,,,,7,3,1,1,1,30
,,5,2,33,1,2,90,,,,,7,3,2,2,3,105
,,5,2,9,2,3,80,,,,,7,3,4,1,2,105
,,5,2,25,1,3,80,,,,,7,3,8,1,3,105
,,5,2,34,2,2,90,,,,,7,3,11,2,3,105
,,5,2,1,2,3,80,,,,,7,3,14,1,2,105
,,5,2,7,1,3,80,,,,,7,3,18,1,2,105
,,5,2,35,2,3,80,,,,,7,3,22,1,3,0
,,5,3,32,2,1,61,,,,,8,1,3,2,3,125
,,5,3,6,2,3,80,,,,,8,1,5,1,2,85
,,5,3,14,2,1,46,,,,,8,1,6,1,3,125
,,5,3,23,2,3,80,,,,,8,1,12,1,1,125
,,5,3,15,2,2,90,,,,,8,1,13,1,1,125
,,5,3,16,2,2,90,,,,,8,1,15,1,3,125
,,5,3,18,2,3,80,,,,,8,1,20,1,3,52
,,5,3,2,2,2,90,,,,,8,1,21,1,3,125
,,5,3,28,1,1,46,,,,,8,2,0,1,1,52
,,5,3,20,1,2,55,,,,,8,2,7,1,1,125
,,5,3,5,2,3,80,,,,,8,2,9,1,3,125
,,5,3,3,1,3,80,,,,,8,2,10,2,3,125
,,6,1,31,2,1,41,,,,,8,2,16,2,2,124
,,6,1,19,1,2,75,,,,,8,2,17,1,2,124
,,6,1,17,1,2,110,,,,,8,2,19,1,3,0
,,6,1,10,2,3,80,,,,,8,2,23,2,1,125
,,6,1,11,2,3,80,,,,,8,3,1,1,2,85
,,6,1,24,2,2,110,,,,,8,3,2,1,2,85
,,6,1,13,2,1,26,,,,,8,3,4,1,3,125
,,6,1,26,2,3,80,,,,,8,3,8,1,2,85
,,6,1,22,2,1,26,,,,,8,3,11,1,2,85
,,6,1,29,2,3,80,,,,,8,3,14,1,2,85
,,6,1,12,2,2,110,,,,,8,3,18,1,2,85
,,6,1,21,2,2,110,,,,,8,3,22,1,3,125
,,6,2,0,1,3,80,,,,,9,1,3,1,2,90
,,6,2,30,2,2,75,,,,,9,1,5,1,2,90
,,6,2,8,2,2,75,,,,,9,1,6,1,2,90
,,6,2,27,1,2,110,,,,,9,1,12,2,1,61
,,6,2,4,2,1,41,,,,,9,1,13,2,2,90
,,6,2,33,2,1,26,,,,,9,1,15,2,2,55
,,6,2,9,2,2,75,,,,,9,1,20,2,3,61
,,6,2,25,1,3,80,,,,,9,1,21,1,2,55
,,6,2,34,1,3,80,,,,,9,2,0,2,2,55
,,6,2,1,2,3,80,,,,,9,2,7,1,2,55
,,6,2,7,1,3,80,,,,,9,2,9,2,3,46
,,6,2,35,2,1,26,,,,,9,2,10,1,1,61
,,6,3,32,2,1,26,,,,,9,2,16,2,1,46
,,6,3,6,2,3,80,,,,,9,2,17,2,1,46
,,6,3,14,2,3,80,,,,,9,2,19,1,1,46
,,6,3,23,2,1,26,,,,,9,2,23,2,3,46
,,6,3,15,1,2,75,,,,,9,3,1,1,3,46
,,6,3,16,1,1,41,,,,,9,3,2,2,2,90
,,6,3,18,1,2,75,,,,,9,3,4,2,2,55
,,6,3,2,2,2,110,,,,,9,3,8,1,2,90
,,6,3,28,2,3,80,,,,,9,3,11,2,3,46
,,6,3,20,1,2,110,,,,,9,3,14,2,2,55
,,6,3,5,2,3,80,,,,,9,3,18,1,2,90
,,6,3,3,2,1,26,,,,,9,3,22,2,1,61
,,7,1,31,2,2,65,,,,,10,1,3,2,2,105
,,7,1,19,2,1,145,,,,,10,1,5,1,3,105
,,7,1,17,2,3,80,,,,,10,1,6,1,3,105
,,7,1,10,1,2,65,,,,,10,1,12,2,3,105
,,7,1,11,1,3,80,,,,,10,1,13,1,1,105
,,7,1,24,1,1,145,,,,,10,1,15,1,2,105
,,7,1,13,1,1,145,,,,,10,1,20,1,2,170
,,7,1,26,1,2,65,,,,,10,1,21,1,1,105
,,7,1,22,1,3,80,,,,,10,2,0,2,3,105
,,7,1,29,1,2,104,,,,,10,2,7,1,3,105
,,7,1,12,1,3,80,,,,,10,2,9,1,3,105
,,7,1,21,1,1,72,,,,,10,2,10,1,1,105
,,7,2,0,2,1,145,,,,,10,2,16,2,1,70
,,7,2,30,1,1,145,,,,,10,2,17,2,2,170
,,7,2,8,1,3,80,,,,,10,2,19,2,3,105
,,7,2,27,2,3,80,,,,,10,2,23,1,3,105
,,7,2,4,2,3,80,,,,,10,3,1,2,1,70
,,7,2,33,1,1,72,,,,,10,3,2,1,1,105
,,7,2,9,1,3,80,,,,,10,3,4,1,2,170
,,7,2,25,2,3,80,,,,,10,3,8,1,2,105
,,7,2,34,1,1,145,,,,,10,3,11,2,3,105
,,7,2,1,1,3,80,,,,,10,3,14,2,3,105
,,7,2,7,1,2,65,,,,,10,3,18,1,3,105
,,7,2,35,1,2,65,,,,,10,3,22,2,1,70
,,7,3,32,1,1,145,,,,,11,1,3,2,2,105
,,7,3,6,1,3,80,,,,,11,1,5,1,1,32
,,7,3,14,1,2,65,,,,,11,1,6,2,2,105
,,7,3,23,1,3,80,,,,,11,1,12,1,3,150
,,7,3,15,1,3,80,,,,,11,1,13,2,2,105
,,7,3,16,2,3,80,,,,,11,1,15,1,1,105
,,7,3,18,1,1,145,,,,,11,1,20,1,2,105
,,7,3,2,1,1,145,,,,,11,1,21,1,3,150
,,7,3,28,1,3,80,,,,,11,2,0,2,2,144
,,7,3,20,2,1,145,,,,,11,2,7,1,2,144
,,7,3,5,2,2,65,,,,,11,2,9,1,2,105
,,7,3,3,1,2,104,,,,,11,2,10,2,2,105
,,8,1,31,1,3,80,,,,,11,2,16,1,3,150
,,8,1,19,2,3,80,,,,,11,2,17,2,2,105
,,8,1,17,2,2,105,,,,,11,2,19,1,2,105
,,8,1,10,1,1,105,,,,,11,2,23,1,2,105
,,8,1,11,1,2,144,,,,,11,3,1,1,1,32
,,8,1,24,2,1,105,,,,,11,3,2,1,1,105
,,8,1,13,1,1,105,,,,,11,3,4,2,2,144
,,8,1,26,1,2,144,,,,,11,3,8,2,2,105
,,8,1,22,2,1,105,,,,,11,3,11,1,1,105
,,8,1,29,2,2,144,,,,,11,3,14,2,1,105
,,8,1,12,1,1,80,,,,,11,3,18,1,3,150
,,8,1,21,2,2,144,,,,,11,3,22,1,3,150
,,8,2,0,2,2,105,,,,,12,1,3,1,1,26
,,8,2,30,2,2,144,,,,,12,1,5,1,2,75
,,8,2,8,1,3,80,,,,,12,1,6,2,1,26
,,8,2,27,1,1,105,,,,,12,1,12,1,2,75
,,8,2,4,1,2,105,,,,,12,1,13,1,3,26
,,8,2,33,1,1,105,,,,,12,1,15,2,3,41
,,8,2,9,1,3,80,,,,,12,1,20,2,2,75
,,8,2,25,1,2,144,,,,,12,1,21,1,3,41
,,8,2,34,1,3,80,,,,,12,2,0,2,2,110
,,8,2,1,2,1,105,,,,,12,2,7,1,2,75
,,8,2,7,1,3,80,,,,,12,2,9,2,1,41
,,8,2,35,2,3,80,,,,,12,2,10,1,3,26
,,8,3,32,1,3,80,,,,,12,2,16,1,1,41
,,8,3,6,2,3,80,,,,,12,2,17,1,3,41
,,8,3,14,2,2,105,,,,,12,2,19,1,3,41
,,8,3,23,2,1,105,,,,,12,2,23,1,2,75
,,8,3,15,1,3,80,,,,,12,3,1,1,3,26
,,8,3,16,1,1,105,,,,,12,3,2,1,1,41
,,8,3,18,1,1,105,,,,,12,3,4,2,3,26
,,8,3,2,2,2,105,,,,,12,3,8,1,2,75
,,8,3,28,1,3,80,,,,,12,3,11,2,2,110
,,8,3,20,1,2,144,,,,,12,3,14,2,3,41
,,8,3,5,1,2,105,,,,,12,3,18,1,1,41
,,8,3,3,1,3,80,,,,,12,3,22,1,1,41
,,9,1,31,2,2,95,,,,,13,1,3,2,2,130
,,9,1,19,1,3,80,,,,,13,1,5,2,1,110
,,9,1,17,2,1,53,,,,,13,1,6,1,2,130
,,9,1,10,2,3,80,,,,,13,1,12,1,1,110
,,9,1,11,1,2,130,,,,,13,1,13,2,3,105
,,9,1,24,1,3,80,,,,,13,1,15,2,2,105
,,9,1,13,1,1,40,,,,,13,1,20,2,3,105
,,9,1,26,1,1,53,,,,,13,1,21,2,3,105
,,9,1,22,2,1,53,,,,,13,2,0,2,2,130
,,9,1,29,2,2,130,,,,,13,2,7,2,2,105
,,9,1,12,2,1,40,,,,,13,2,9,2,3,105
,,9,1,21,2,2,95,,,,,13,2,10,1,3,105
,,9,2,0,2,2,130,,,,,13,2,16,1,1,110
,,9,2,30,2,1,53,,,,,13,2,17,2,1,105
,,9,2,8,2,1,53,,,,,13,2,19,2,2,130
,,9,2,27,1,2,130,,,,,13,2,23,1,3,105
,,9,2,4,1,3,80,,,,,13,3,1,1,2,105
,,9,2,33,2,3,80,,,,,13,3,2,2,1,110
,,9,2,9,2,1,53,,,,,13,3,4,1,1,110
,,9,2,25,2,1,40,,,,,13,3,8,2,3,105
,,9,2,34,1,3,80,,,,,13,3,11,2,1,105
,,9,2,1,2,2,130,,,,,13,3,14,1,2,130
,,9,2,7,1,2,130,,,,,13,3,18,2,3,105
,,9,2,35,2,3,80,,,,,13,3,22,2,1,105
,,9,3,32,2,2,130,,,,,14,1,3,1,1,52
,,9,3,6,2,1,40,,,,,14,1,5,2,3,124
,,9,3,14,2,2,95,,,,,14,1,6,2,2,85
,,9,3,23,2,1,40,,,,,14,1,12,1,2,124
,,9,3,15,2,2,130,,,,,14,1,13,2,3,124
,,9,3,16,2,1,53,,,,,14,1,15,2,3,124
,,9,3,18,1,1,40,,,,,14,1,20,2,1,125
,,9,3,2,2,3,80,,,,,14,1,21,2,2,124
,,9,3,28,2,2,130,,,,,14,2,0,2,2,124
,,9,3,20,1,3,80,,,,,14,2,7,2,2,124
,,9,3,5,2,2,95,,,,,14,2,9,2,3,124
,,9,3,3,1,2,130,,,,,14,2,10,1,2,124
,,10,1,31,1,3,80,,,,,14,2,16,2,2,124
,,10,1,19,1,1,210,,,,,14,2,17,2,3,124
,,10,1,17,2,1,210,,,,,14,2,19,2,2,124
,,10,1,10,2,3,80,,,,,14,2,23,2,1,125
,,10,1,11,1,2,210,,,,,14,3,1,1,3,85
,,10,1,24,1,2,210,,,,,14,3,2,2,3,85
,,10,1,13,1,1,210,,,,,14,3,4,1,1,52
,,10,1,26,1,1,210,,,,,14,3,8,2,3,124
,,10,1,22,1,3,80,,,,,14,3,11,2,3,124
,,10,1,29,1,2,210,,,,,14,3,14,1,3,85
,,10,1,12,1,3,80,,,,,14,3,18,2,3,85
,,10,1,21,1,3,80,,,,,14,3,22,1,1,52
,,10,2,0,2,1,210,,,,,15,1,3,1,1,26
,,10,2,30,1,1,210,,,,,15,1,5,2,2,110
,,10,2,8,1,3,80,,,,,15,1,6,2,1,26
,,10,2,27,1,2,210,,,,,15,1,12,2,1,26
,,10,2,4,1,2,210,,,,,15,1,13,2,1,41
,,10,2,33,1,3,80,,,,,15,1,15,2,1,26
,,10,2,9,1,2,210,,,,,15,1,20,2,1,26
,,10,2,25,1,1,210,,,,,15,1,21,2,3,150
,,10,2,34,1,1,64,,,,,15,2,0,2,1,26
,,10,2,1,2,3,80,,,,,15,2,7,2,2,75
,,10,2,7,1,3,80,,,,,15,2,9,2,2,75
,,10,2,35,1,3,80,,,,,15,2,10,1,1,26
,,10,3,32,1,3,80,,,,,15,2,16,2,2,75
,,10,3,6,1,3,80,,,,,15,2,17,1,1,26
,,10,3,14,1,1,210,,,,,15,2,19,2,1,26
,,10,3,23,1,1,210,,,,,15,2,23,1,1,26
,,10,3,15,1,3,80,,,,,15,3,1,2,1,26
,,10,3,16,1,1,64,,,,,15,3,2,2,1,26
,,10,3,18,1,2,210,,,,,15,3,4,1,2,110
,,10,3,2,1,2,210,,,,,15,3,8,2,1,41
,,10,3,28,1,1,210,,,,,15,3,11,2,2,110
,,10,3,20,2,3,80,,,,,15,3,14,2,2,75
,,10,3,5,1,2,210,,,,,15,3,18,1,2,110
,,10,3,3,1,3,80,,,,,15,3,22,2,3,150
,,11,1,31,1,1,105,,,,,16,1,3,2,3,105
,,11,1,19,1,2,105,,,,,16,1,5,1,1,29
,,11,1,17,2,1,105,,,,,16,1,6,1,1,105
,,11,1,10,2,3,80,,,,,16,1,12,1,2,105
,,11,1,11,1,3,80,,,,,16,1,13,2,1,29
,,11,1,24,2,2,105,,,,,16,1,15,2,1,29
,,11,1,13,1,1,105,,,,,16,1,20,2,2,245
,,11,1,26,1,3,80,,,,,16,1,21,1,2,105
,,11,1,22,2,2,105,,,,,16,2,0,1,1,29
,,11,1,29,1,1,80,,,,,16,2,7,2,3,105
,,11,1,12,1,3,80,,,,,16,2,9,2,1,105
,,11,1,21,1,1,80,,,,,16,2,10,1,2,105
,,11,2,0,1,1,105,,,,,16,2,16,1,2,105
,,11,2,30,1,3,80,,,,,16,2,17,2,2,105
,,11,2,8,1,3,80,,,,,16,2,19,2,3,105
,,11,2,27,1,3,80,,,,,16,2,23,1,2,245
,,11,2,4,1,2,105,,,,,16,3,1,2,2,105
,,11,2,33,1,1,105,,,,,16,3,2,1,3,105
,,11,2,9,1,3,80,,,,,16,3,4,1,1,29
,,11,2,25,1,1,105,,,,,16,3,8,2,1,29
,,11,2,34,1,1,105,,,,,16,3,11,2,3,105
,,11,2,1,1,2,105,,,,,16,3,14,2,2,105
,,11,2,7,1,3,80,,,,,16,3,18,1,1,29
,,11,2,35,1,2,105,,,,,16,3,22,2,1,29
,,11,3,32,1,1,105,,,,,17,1,3,1,1,145
,,11,3,6,1,3,80,,,,,17,1,5,2,1,72
,,11,3,14,1,2,105,,,,,17,1,6,2,2,65
,,11,3,23,1,1,105,,,,,17,1,12,1,1,72
,,11,3,15,1,2,105,,,,,17,1,13,2,1,72
,,11,3,16,1,1,80,,,,,17,1,15,1,2,104
,,11,3,18,2,2,105,,,,,17,1,20,2,1,72
,,11,3,2,1,2,112,,,,,17,1,21,2,2,65
,,11,3,28,1,1,105,,,,,17,2,0,2,2,104
,,11,3,20,2,1,105,,,,,17,2,7,2,1,72
,,11,3,5,2,2,105,,,,,17,2,9,2,2,104
,,11,3,3,1,2,112,,,,,17,2,10,2,1,72
,,12,1,31,1,1,112,,,,,17,2,16,2,3,104
,,12,1,19,2,1,112,,,,,17,2,17,2,1,0
,,12,1,17,1,1,112,,,,,17,2,19,2,1,72
,,12,1,10,2,2,144,,,,,17,2,23,2,3,104
,,12,1,11,2,2,144,,,,,17,3,1,2,3,104
,,12,1,24,1,3,80,,,,,17,3,2,2,2,104
,,12,1,13,2,3,80,,,,,17,3,4,1,3,65
,,12,1,26,2,1,112,,,,,17,3,8,2,1,72
,,12,1,22,2,1,105,,,,,17,3,11,2,1,145
,,12,1,29,2,1,112,,,,,17,3,14,1,2,104
,,12,1,12,2,1,105,,,,,17,3,18,2,2,104
,,12,1,21,2,1,105,,,,,17,3,22,2,1,72
,,12,2,0,1,1,112,,,,,18,1,3,2,2,85
,,12,2,30,2,3,80,,,,,18,1,5,1,2,85
,,12,2,8,2,1,112,,,,,18,1,6,1,1,125
,,12,2,27,2,3,80,,,,,18,1,12,1,2,85
,,12,2,4,2,3,80,,,,,18,1,13,1,3,150
,,12,2,33,2,3,80,,,,,18,1,15,1,3,150
,,12,2,9,2,3,80,,,,,18,1,20,1,2,85
,,12,2,25,2,1,112,,,,,18,1,21,1,1,125
,,12,2,34,2,2,144,,,,,18,2,0,1,1,125
,,12,2,1,2,3,80,,,,,18,2,7,1,1,125
,,12,2,7,1,3,80,,,,,18,2,9,1,1,125
,,12,2,35,2,1,112,,,,,18,2,10,1,2,85
,,12,3,32,2,1,112,,,,,18,2,16,1,3,150
,,12,3,6,2,2,144,,,,,18,2,17,1,1,125
,,12,3,14,2,2,144,,,,,18,2,19,1,3,150
,,12,3,23,2,1,105,,,,,18,2,23,1,1,125
,,12,3,15,1,1,112,,,,,18,3,1,1,1,52
,,12,3,16,2,3,80,,,,,18,3,2,1,1,125
,,12,3,18,2,1,112,,,,,18,3,4,1,2,85
,,12,3,2,2,3,80,,,,,18,3,8,1,1,125
,,12,3,28,2,1,112,,,,,18,3,11,1,3,150
,,12,3,20,1,1,112,,,,,18,3,14,2,1,125
,,12,3,5,2,3,80,,,,,18,3,18,1,3,150
,,12,3,3,2,2,144,,,,,18,3,22,1,2,85
,,13,1,31,1,2,130,,,,,19,1,3,2,2,197
,,13,1,19,2,1,78,,,,,19,1,5,1,2,105
,,13,1,17,1,2,130,,,,,19,1,6,1,2,197
,,13,1,10,2,1,78,,,,,19,1,12,2,1,77
,,13,1,11,2,3,80,,,,,19,1,13,2,1,0
,,13,1,24,1,2,130,,,,,19,1,15,2,3,105
,,13,1,13,2,1,74,,,,,19,1,20,2,1,105
,,13,1,26,2,2,95,,,,,19,1,21,2,3,105
,,13,1,22,2,3,80,,,,,19,2,0,2,3,105
,,13,1,29,2,3,80,,,,,19,2,7,2,2,197
,,13,1,12,2,2,95,,,,,19,2,9,2,1,77
,,13,1,21,2,2,130,,,,,19,2,10,1,1,77
,,13,2,0,2,2,130,,,,,19,2,16,2,2,197
,,13,2,30,2,2,130,,,,,19,2,17,2,2,105
,,13,2,8,2,3,80,,,,,19,2,19,2,2,197
,,13,2,27,2,3,80,,,,,19,2,23,2,1,77
,,13,2,4,2,2,95,,,,,19,3,1,2,3,105
,,13,2,33,2,3,80,,,,,19,3,2,1,2,105
,,13,2,9,2,2,130,,,,,19,3,4,1,2,197
,,13,2,25,2,1,78,,,,,19,3,8,2,3,105
,,13,2,34,2,3,80,,,,,19,3,11,2,2,197
,,13,2,1,2,3,80,,,,,19,3,14,2,3,105
,,13,2,7,1,3,80,,,,,19,3,18,2,1,77
,,13,2,35,2,1,78,,,,,19,3,22,2,1,77
,,13,3,32,2,1,78,,,,,20,1,3,1,2,130
,,13,3,6,2,1,78,,,,,20,1,5,2,1,21
,,13,3,14,2,2,130,,,,,20,1,6,1,2,130
,,13,3,23,2,1,78,,,,,20,1,12,2,1,6
,,13,3,15,2,1,74,,,,,20,1,13,2,2,130
,,13,3,16,1,3,80,,,,,20,1,15,2,3,150
,,13,3,18,2,3,80,,,,,20,1,20,2,2,130
,,13,3,2,2,3,80,,,,,20,1,21,2,1,6
